UID,edad,sexo,neducativo,salario,sector
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-1,5.0,0.0,4.0,1500000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655982-1-2,2.0,0.0,3.0,1300000.0,1.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655983-1-7,1.0,1.0,3.0,1160000.0,3.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
